,words,x,y
415,military,17.14007,4.4596024
416,steendam,11.136633,4.343436
417,jupiter,12.85925,4.183053
418,victory,14.013679,2.031789
419,sconces,14.143154,6.8357167
420,medal,15.235067,4.253768
421,plinth,16.564848,4.8199644
422,attack,16.753752,4.5503955
423,prosperity,14.411869,2.5602126
424,motifs,14.93228,3.0347538
425,welna,13.221469,4.136347
426,brothers,14.23597,1.3486533
427,exmouth,10.027851,3.462953
428,strong,16.407179,4.3984246
429,united,10.096433,2.8624885
430,spoorweg,16.883438,5.6702337
431,algemeen,15.758285,3.5105202
432,mocking,13.055603,2.9134338
433,sings,16.905107,4.8101015
434,crescunt,14.099177,6.7384033
435,argue,16.796286,4.223582
436,falcon,12.7357435,7.1115923
437,amalia,11.959904,2.0643816
438,haddock,11.265707,4.1906824
439,scipio,13.746305,3.7666502
440,courtiers,15.674046,1.1259115
441,upside,12.567256,3.8438742
442,engraving,17.349834,3.5413063
443,polar,15.916842,6.207042
444,hollands,8.923343,2.9221888
445,mariakerk,13.68912,-0.08159275
446,strength,14.205913,1.9576154
447,pears,14.42562,6.8699174
448,chiara,12.722426,5.138589
449,jumps,13.963067,4.9729958
450,spit,12.623847,4.1687984
451,healing,14.394078,2.0601258
452,mistress,12.737673,0.89462787
453,babies,14.066206,3.386892
454,pieter,12.893473,2.3088582
455,jn,12.679563,1.6927639
456,curly,16.23433,5.592096
457,braunfels,13.287552,4.805362
458,commanders,15.247112,1.078026
459,armies,14.874596,0.63887143
460,famous,17.997175,4.840428
461,handcuffed,14.193312,4.52058
462,extinguished,14.057944,3.639802
463,venus,12.820925,4.167631
464,pas,14.2529745,2.77428
465,ibex,12.963489,2.5472515
466,franck,10.6062155,2.7385173
467,sniffs,13.111923,2.7224197
468,dragon,13.189877,6.2120957
469,barking,14.334263,3.4718475
470,june,14.340157,2.395439
471,32a,15.950124,2.9870787
472,muslim,11.826095,1.746406
473,diving,10.924851,4.451224
474,sinterklaas,14.753262,5.2714486
475,zacharias,13.521337,3.837085
476,danae,12.737197,2.7120697
477,maatschappij,14.84353,2.156042
478,cividale,12.354187,3.0600822
479,pisses,15.071716,5.709161
480,raising,14.620294,3.9631066
481,riding,11.615948,6.6348567
482,fountain,11.04645,4.594612
483,regent,12.977598,1.8862882
484,prizes,16.261934,1.6773651
485,street,11.332753,3.695098
486,coconut,14.092604,6.540016
487,paths,16.486996,5.479532
488,ox,12.229066,6.6140513
489,distinguished,15.238236,2.7217443
490,hyde,10.471005,3.2711782
491,pay,15.0365505,3.6589205
492,indonesia,10.586008,2.640183
493,refer,18.286917,4.8526087
494,barrel,14.828454,5.657947
495,case,17.276976,4.5153494
496,vegetation,13.818285,7.153317
497,rot,14.335948,3.8016052
498,good,14.848805,3.5329669
499,lignum,13.928277,2.7341988
500,motif,14.858596,3.0429652
501,harvested,11.041218,5.6555986
502,grindstone,14.51017,5.60802
503,count,17.149773,3.664362
504,willemsz,15.276823,3.3502557
505,dug,12.990169,4.21939
506,willemssluizen,14.022911,5.4037375
507,crowns,12.9270115,1.370812
508,pulled,16.724838,5.421745
509,gedeelde,14.954324,2.666995
510,ghat,10.66729,4.2229857
511,bowls,15.17651,6.107747
512,door,11.945499,4.9562683
513,cow,12.166856,6.560757
514,carvings,16.595781,3.5948317
515,bagpipe,17.441952,2.1089628
516,sampler,13.205112,2.3781705
517,display,16.679226,3.1225789
518,jacopo,11.547309,1.2257917
519,aeltje,13.526556,4.8205795
520,grebber,12.823245,2.5063074
521,neulingem,14.586658,4.5287004
522,spiral,17.443153,4.4055333
523,niches,15.264532,5.160502
524,posthumous,13.741013,2.183922
525,concentric,15.268835,3.5085733
526,deshima,16.96664,5.3298607
527,igaraçú,12.645374,7.203264
528,houweningen,11.641694,4.092728
529,helps,17.746157,4.354918
530,studying,16.437706,2.5882924
531,eethen,12.547731,2.5664606
532,subtitle,17.897411,4.2514615
533,altar,13.783052,-0.08167304
534,tracery,16.165485,5.0234156
535,lange,15.307432,4.3450823
536,drenthe,13.536881,3.5361676
537,remonstrant,13.464722,1.6035935
538,succession,14.008774,1.8642046
539,jetty,16.612549,5.049175
540,transferred,16.082031,3.068646
541,meadows,11.063369,5.612863
542,ireland,10.084349,2.9824932
543,memorial,14.678327,0.48752287
544,standing,14.209534,2.5507877
545,berbel,13.391309,4.0414553
546,sacrifice,13.908539,0.8032697
547,brouwersgracht,15.049004,5.731247
548,i.,18.25952,4.6735926
549,calydonian,10.647523,2.691006
550,agricultural,10.9757805,5.516831
551,wreath,14.293116,5.2066374
552,sultans,12.774911,1.4986534
553,witches,12.7596,1.0301914
554,peddlers,13.721702,5.3113112
555,court,16.10743,1.7377043
556,coopvaarder,11.800436,4.1904225
557,europa,10.190164,2.6831386
558,franklin,12.421755,2.187655
559,vervoorn,11.649909,4.970048
560,georg,17.99139,4.9685006
561,led,12.725567,5.225839
562,pietersz,16.201525,5.0035467
563,designed,16.585173,3.6864126
564,stallion,12.674936,6.5600166
565,row,16.588144,4.425521
566,drovers,17.298151,4.9601207
567,grassy,11.130322,5.764646
568,chiseled,16.064066,4.0240536
569,tekke,16.12669,3.7199924
570,larger,14.963538,3.4878974
571,jordaan,10.441652,2.3957691
572,albert,12.305312,2.2629476
